
train_batch_node_id, train_batch_node_size
1,5
2,5
3,5
4,5

train_batch_edge_id, train_batch_edge_size
1,6
2,6
3,6
4,6

train_seed_node_id, train_seed_node_size
1,1
2,1
3,1
4,1

validation_batch_node_id, validation_batch_node_size
1,5
2,5
3,5
4,5

validation_batch_edge_id, validation_batch_edge_size
1,6
2,6
3,6
4,6

validation_seed_node_id, validation_seed_node_size
1,2
2,2
3,2
4,2

train_batch_node_id, train_batch_node_size
1,5
2,5
3,5
4,5

train_batch_edge_id, train_batch_edge_size
1,6
2,6
3,6
4,6

train_seed_node_id, train_seed_node_size
1,1
2,1
3,1
4,1

validation_batch_node_id, validation_batch_node_size
1,5
2,5
3,5
4,5

validation_batch_edge_id, validation_batch_edge_size
1,6
2,6
3,6
4,6

validation_seed_node_id, validation_seed_node_size
1,2
2,2
3,2
4,2
