
train_batch_node_id, train_batch_node_size
1,335
2,340
3,346
4,347
5,335
6,335
7,334
8,336
9,335
10,346
11,335
12,332
13,344
14,328
15,341
16,347

train_batch_edge_id, train_batch_edge_size
1,168
2,258
3,176
4,172
5,156
6,166
7,196
8,180
9,156
10,172
11,168
12,242
13,204
14,172
15,150
16,144

train_seed_node_id, train_seed_node_size
1,32
2,33
3,33
4,33
5,32
6,32
7,32
8,32
9,32
10,33
11,32
12,32
13,33
14,32
15,32
16,33

validation_batch_node_id, validation_batch_node_size
1,335
2,340
3,346
4,347
5,335
6,335
7,334
8,336
9,335
10,346
11,335
12,332
13,344
14,328
15,341
16,347

validation_batch_edge_id, validation_batch_edge_size
1,168
2,258
3,176
4,172
5,156
6,166
7,196
8,180
9,156
10,172
11,168
12,242
13,204
14,172
15,150
16,144

validation_seed_node_id, validation_seed_node_size
1,286
2,290
3,295
4,296
5,286
6,286
7,285
8,287
9,286
10,295
11,286
12,284
13,293
14,280
15,291
16,296
