
train_batch_node_id, train_batch_node_size
1,344
2,336
3,338
4,330
5,345
6,334
7,337
8,344
9,330
10,345
11,334
12,341
13,347
14,336
15,337
16,338

train_batch_edge_id, train_batch_edge_size
1,192
2,162
3,198
4,184
5,242
6,178
7,180
8,186
9,228
10,220
11,162
12,182
13,144
14,162
15,180
16,232

train_seed_node_id, train_seed_node_size
1,32
2,32
3,33
4,32
5,33
6,32
7,32
8,33
9,32
10,33
11,32
12,32
13,33
14,32
15,32
16,33

validation_batch_node_id, validation_batch_node_size
1,344
2,336
3,338
4,330
5,345
6,334
7,337
8,344
9,330
10,345
11,334
12,341
13,347
14,336
15,337
16,338

validation_batch_edge_id, validation_batch_edge_size
1,192
2,162
3,198
4,184
5,242
6,178
7,180
8,186
9,228
10,220
11,162
12,182
13,144
14,162
15,180
16,232

validation_seed_node_id, validation_seed_node_size
1,294
2,287
3,288
4,282
5,294
6,285
7,288
8,293
9,282
10,294
11,285
12,291
13,296
14,287
15,288
16,288
