
train_batch_node_id, train_batch_node_size
1,340
2,344
3,337
4,328
5,335
6,342
7,338
8,344
9,340
10,337
11,338
12,346
13,342
14,330
15,338
16,337

train_batch_edge_id, train_batch_edge_size
1,216
2,204
3,180
4,180
5,192
6,158
7,192
8,192
9,142
10,170
11,226
12,176
13,166
14,256
15,168
16,222

train_seed_node_id, train_seed_node_size
1,33
2,33
3,32
4,32
5,32
6,32
7,33
8,32
9,32
10,32
11,33
12,33
13,32
14,32
15,33
16,32

validation_batch_node_id, validation_batch_node_size
1,340
2,344
3,337
4,328
5,335
6,342
7,338
8,344
9,340
10,337
11,338
12,346
13,342
14,330
15,338
16,337

validation_batch_edge_id, validation_batch_edge_size
1,216
2,204
3,180
4,180
5,192
6,158
7,192
8,192
9,142
10,170
11,226
12,176
13,166
14,256
15,168
16,222

validation_seed_node_id, validation_seed_node_size
1,290
2,293
3,288
4,280
5,286
6,292
7,288
8,294
9,290
10,288
11,288
12,295
13,292
14,282
15,288
16,288
