
train_batch_node_id, train_batch_node_size
1,2418
2,2548
3,2491
4,2440
5,2464
6,2469
7,2544
8,2419
9,2440
10,2548
11,2475
12,2452
13,2480
14,2418
15,2436
16,2544

train_batch_edge_id, train_batch_edge_size
1,2724
2,3996
3,2538
4,2828
5,2816
6,2828
7,2958
8,2424
9,2578
10,3644
11,2966
12,2448
13,2550
14,2716
15,2978
16,3342

train_seed_node_id, train_seed_node_size
1,241
2,254
3,248
4,244
5,246
6,245
7,253
8,241
9,244
10,254
11,247
12,244
13,247
14,241
15,242
16,253

validation_batch_node_id, validation_batch_node_size
1,2418
2,2548
3,2491
4,2440
5,2464
6,2469
7,2544
8,2419
9,2440
10,2548
11,2475
12,2452
13,2480
14,2418
15,2436
16,2544

validation_batch_edge_id, validation_batch_edge_size
1,2724
2,3996
3,2538
4,2828
5,2816
6,2828
7,2958
8,2424
9,2578
10,3644
11,2966
12,2448
13,2550
14,2716
15,2978
16,3342

validation_seed_node_id, validation_seed_node_size
1,2056
2,2166
3,2118
4,2074
5,2095
6,2100
7,2163
8,2057
9,2074
10,2166
11,2104
12,2085
13,2109
14,2056
15,2072
16,2163
