
train_batch_node_id, train_batch_node_size
1,4936
2,4913
3,4923
4,4945
5,4959
6,4884
7,4963
8,4911

train_batch_edge_id, train_batch_edge_size
1,5302
2,5260
3,5374
4,5730
5,5416
6,5224
7,5314
8,5946

train_seed_node_id, train_seed_node_size
1,491
2,489
3,490
4,492
5,493
6,487
7,493
8,489

validation_batch_node_id, validation_batch_node_size
1,4936
2,4913
3,4923
4,4945
5,4959
6,4884
7,4963
8,4911

validation_batch_edge_id, validation_batch_edge_size
1,5302
2,5260
3,5374
4,5730
5,5416
6,5224
7,5314
8,5946

validation_seed_node_id, validation_seed_node_size
1,4197
2,4178
3,4187
4,4205
5,4217
6,4153
7,4220
8,4177
