
train_batch_node_id, train_batch_node_size
1,2460
2,2482
3,2476
4,2441
5,2457
6,2422
7,2497
8,2482
9,2443
10,2501
11,2467
12,2492
13,2449
14,2482
15,2424
16,2459

train_batch_edge_id, train_batch_edge_size
1,1356
2,1576
3,1392
4,1364
5,1244
6,1306
7,1464
8,1408
9,1260
10,1332
11,1386
12,1366
13,1274
14,1408
15,1486
16,1502

train_seed_node_id, train_seed_node_size
1,244
2,248
3,246
4,243
5,245
6,241
7,248
8,247
9,243
10,248
11,246
12,248
13,244
14,247
15,241
16,245

validation_batch_node_id, validation_batch_node_size
1,2460
2,2482
3,2476
4,2441
5,2457
6,2422
7,2497
8,2482
9,2443
10,2501
11,2467
12,2492
13,2449
14,2482
15,2424
16,2459

validation_batch_edge_id, validation_batch_edge_size
1,1356
2,1576
3,1392
4,1364
5,1244
6,1306
7,1464
8,1408
9,1260
10,1332
11,1386
12,1366
13,1274
14,1408
15,1486
16,1502

validation_seed_node_id, validation_seed_node_size
1,2092
2,2110
3,2106
4,2076
5,2089
6,2060
7,2123
8,2111
9,2077
10,2127
11,2098
12,2119
13,2082
14,2111
15,2062
16,2091
