
train_batch_node_id, train_batch_node_size
1,2478
2,2485
3,2441
4,2472
5,2447
6,2489
7,2454
8,2451
9,2424
10,2524
11,2456
12,2441
13,2469
14,2448
15,2460
16,2495

train_batch_edge_id, train_batch_edge_size
1,1384
2,1396
3,1364
4,1460
5,1396
6,1336
7,1326
8,1388
9,1486
10,1368
11,1388
12,1376
13,1478
14,1346
15,1356
16,1296

train_seed_node_id, train_seed_node_size
1,246
2,247
3,243
4,246
5,244
6,247
7,245
8,244
9,241
10,251
11,245
12,243
13,246
14,244
15,244
16,248

validation_batch_node_id, validation_batch_node_size
1,2478
2,2485
3,2441
4,2472
5,2447
6,2489
7,2454
8,2451
9,2424
10,2524
11,2456
12,2441
13,2469
14,2448
15,2460
16,2495

validation_batch_edge_id, validation_batch_edge_size
1,1384
2,1396
3,1364
4,1460
5,1396
6,1336
7,1326
8,1388
9,1486
10,1368
11,1388
12,1376
13,1478
14,1346
15,1356
16,1296

validation_seed_node_id, validation_seed_node_size
1,2108
2,2113
3,2076
4,2102
5,2081
6,2117
7,2086
8,2084
9,2062
10,2146
11,2088
12,2076
13,2099
14,2082
15,2092
16,2122
