
train_batch_node_id, train_batch_node_size
1,2492
2,2438
3,2455
4,2485
5,2478
6,2441
7,2466
8,2462
9,2431
10,2446
11,2471
12,2448
13,2489
14,2457
15,2508
16,2467

train_batch_edge_id, train_batch_edge_size
1,1366
2,1410
3,1558
4,1396
5,1214
6,1282
7,1428
8,1372
9,1220
10,1340
11,1500
12,1346
13,1336
14,1262
15,1400
16,1386

train_seed_node_id, train_seed_node_size
1,248
2,242
3,244
4,247
5,247
6,243
7,246
8,245
9,242
10,243
11,246
12,244
13,247
14,244
15,250
16,246

validation_batch_node_id, validation_batch_node_size
1,2492
2,2438
3,2455
4,2485
5,2478
6,2441
7,2466
8,2462
9,2431
10,2446
11,2471
12,2448
13,2489
14,2457
15,2508
16,2467

validation_batch_edge_id, validation_batch_edge_size
1,1366
2,1410
3,1558
4,1396
5,1214
6,1282
7,1428
8,1372
9,1220
10,1340
11,1500
12,1346
13,1336
14,1262
15,1400
16,1386

validation_seed_node_id, validation_seed_node_size
1,2119
2,2074
3,2088
4,2113
5,2107
6,2075
7,2097
8,2094
9,2067
10,2080
11,2101
12,2082
13,2117
14,2090
15,2132
16,2098
