
train_batch_node_id, train_batch_node_size
1,675
2,668
3,685
4,680
5,684
6,677
7,675
8,672

train_batch_edge_id, train_batch_edge_size
1,622
2,542
3,754
4,734
5,572
6,728
7,650
8,820

train_seed_node_id, train_seed_node_size
1,64
2,64
3,64
4,64
5,64
6,64
7,64
8,64

train_batch_node_id, train_batch_node_size
1,674
2,684
3,678
4,672
5,681
6,672
7,683
8,672

train_batch_edge_id, train_batch_edge_size
1,604
2,592
3,738
4,814
5,624
6,628
7,620
8,782

train_seed_node_id, train_seed_node_size
1,64
2,64
3,64
4,64
5,64
6,64
7,64
8,64
