
train_batch_node_id, train_batch_node_size
1,785
2,788
3,789
4,788
5,790
6,769
7,807
8,798
9,785
10,763
11,818
12,745
13,808
14,766
15,783
16,718

train_batch_edge_id, train_batch_edge_size
1,10533
2,11858
3,10095
4,11034
5,11410
6,10145
7,11591
8,11096
9,11377
10,9907
11,11604
12,9663
13,11286
14,10712
15,10779
16,9686

train_seed_node_id, train_seed_node_size
1,93
2,93
3,93
4,93
5,93
6,93
7,93
8,93
9,93
10,93
11,93
12,93
13,93
14,93
15,93
16,80
