
train_batch_node_id, train_batch_node_size
1,6193
2,6166
3,6188
4,6144
5,6252
6,6227
7,6231
8,6093

train_batch_edge_id, train_batch_edge_size
1,229113
2,219086
3,223766
4,223082
5,226010
6,228461
7,229495
8,219915

train_seed_node_id, train_seed_node_size
1,1218
2,1218
3,1218
4,1218
5,1218
6,1218
7,1218
8,1211

train_batch_node_id, train_batch_node_size
1,6230
2,6278
3,6212
4,6260
5,6238
6,6258
7,6230
8,6263

train_batch_edge_id, train_batch_edge_size
1,225092
2,226906
3,223300
4,226182
5,221356
6,228042
7,229494
8,230979

train_seed_node_id, train_seed_node_size
1,1218
2,1218
3,1218
4,1218
5,1218
6,1218
7,1218
8,1211

train_batch_node_id, train_batch_node_size
1,6223
2,6161
3,6266
4,6221
5,6236
6,6229
7,6223
8,6193

train_batch_edge_id, train_batch_edge_size
1,225787
2,222925
3,229286
4,222235
5,225816
6,227441
7,223081
8,223859

train_seed_node_id, train_seed_node_size
1,1218
2,1218
3,1218
4,1218
5,1218
6,1218
7,1218
8,1211
