
train_batch_node_id, train_batch_node_size
17,33959
18,34266
19,34021
20,34169
21,34103
22,33980
23,34115
24,34318
25,34263
26,34285
27,33998
28,34102
29,34120
30,34099
31,33814
32,34108

train_batch_edge_id, train_batch_edge_size
17,755241
18,755964
19,723629
20,740413
21,721537
22,729284
23,745279
24,755436
25,742493
26,741911
27,736892
28,736374
29,762654
30,732605
31,739130
32,708204

train_seed_node_id, train_seed_node_size
1,8401
2,8401
3,8401
4,8401
5,8401
6,8401
7,8401
8,8401
9,8401
10,8401
11,8401
12,8401
13,8401
14,8401
15,8401
16,8401
17,8401
18,8401
19,8401
20,8401
21,8401
22,8401
23,8401
24,8401
25,8401
26,8401
27,8401
28,8401
29,8401
30,8401
31,8401
32,8401
33,8401
34,8401
35,8401
36,8401
37,8401
38,8401
39,8401
40,8401
41,8401
42,8401
43,8401
44,8401
45,8401
46,8401
47,8401
48,8401
49,8401
50,8401
51,8401
52,8401
53,8401
54,8401
55,8401
56,8401
57,8401
58,8401
59,8401
60,8401
61,8401
62,8401
63,8401
64,8371
