
train_batch_node_id, train_batch_node_size
65,1793
66,1821
67,1766
68,1810
69,1732
70,1860
71,1822
72,1873
73,1794
74,1874
75,1766
76,1873
77,1821
78,1816
79,1843
80,1822

train_batch_edge_id, train_batch_edge_size
65,1452
66,1456
67,1436
68,1370
69,1404
70,1530
71,1520
72,1476
73,1376
74,1440
75,1326
76,1392
77,1362
78,1382
79,1460
80,1416

train_seed_node_id, train_seed_node_size
1,1472
2,1500
3,1588
4,1590
5,1499
6,1591
7,1549
8,1550
9,1515
10,1540
11,1545
12,1514
13,1591
14,1592
15,1467
16,1548
17,1542
18,1543
19,1505
20,1545
21,1543
22,1558
23,1592
24,1505
25,1592
26,1588
27,1568
28,1539
29,1586
30,1592
31,1509
32,1553
33,1534
34,1513
35,1547
36,1513
37,1468
38,1592
39,1545
40,1545
41,1501
42,1555
43,1543
44,1592
45,1553
46,1512
47,1454
48,1547
49,1481
50,1592
51,1547
52,1531
53,1480
54,1534
55,1549
56,1561
57,1592
58,1590
59,1591
60,1572
61,1548
62,1591
63,1528
64,1515
65,1522
66,1546
67,1498
68,1536
69,1470
70,1579
71,1547
72,1591
73,1523
74,1592
75,1498
76,1591
77,1546
78,1543
79,1565
80,1547
81,1545
82,1545
83,1552
84,1500
85,1591
86,1589
87,1511
88,1505
89,1519
90,1550
91,1570
92,1592
93,1592
94,1465
95,1564
96,1545
97,1588
98,1550
99,1503
100,1506
101,1554
102,1568
103,1591
104,1592
105,1503
106,1548
107,1543
108,1508
109,1546
110,1545
111,1549
112,1489
113,1488
114,1500
115,1562
116,1502
117,1500
118,1501
119,1547
120,1547
121,1546
122,1501
123,1591
124,1503
125,1549
126,1544
127,1588
128,1567
129,1559
130,1517
131,1475
132,1552
133,1545
134,1591
135,1591
136,1589
137,1545
138,1578
139,1548
140,1584
141,1512
142,1490
143,1585
144,1590
145,1509
146,1592
147,1592
148,1540
149,1526
150,1592
151,1513
152,1590
153,1503
154,1590
155,1544
156,1591
157,1584
158,1493
159,1497
160,1543
161,1591
162,1527
163,1546
164,1579
165,1499
166,1546
167,1542
168,1572
169,1545
170,1592
171,1592
172,1494
173,1590
174,1545
175,1545
176,1518
177,1541
178,1549
179,1580
180,1557
181,1454
182,1545
183,1554
184,1589
185,1547
186,1554
187,1518
188,1484
189,1548
190,1496
191,1526
192,1507
193,1592
194,1479
195,1542
196,1501
197,1592
198,1551
199,1545
200,1547
201,1592
202,1589
203,1545
204,1591
205,1498
206,1527
207,1505
208,1591
209,1547
210,1508
211,1545
212,1499
213,1557
214,1546
215,1545
216,1546
217,1549
218,1563
219,1511
220,1590
221,1542
222,1548
223,1590
224,1576
225,1547
226,1590
227,1545
228,1546
229,1547
230,1551
231,1592
232,1532
233,1545
234,1507
235,1584
236,1555
237,1545
238,1519
239,1591
240,1470
241,1546
242,1497
243,1538
244,1501
245,1533
246,1588
247,1524
248,1555
249,1545
250,1545
251,1591
252,1545
253,1530
254,1561
255,1512
256,1458
257,1501
258,1507
259,1474
260,1546
261,1590
262,1462
263,1501
264,1553
265,1513
266,1574
267,1545
268,1544
269,1591
270,1589
271,1592
272,1519
273,1545
274,1591
275,1555
276,1549
277,1590
278,1473
279,1591
280,1592
281,1506
282,1592
283,1548
284,1529
285,1540
286,1592
287,1545
288,1547
289,1546
290,1489
291,1538
292,1534
293,1591
294,1496
295,1503
296,1592
297,1589
298,1589
299,1588
300,1522
301,1509
302,1592
303,1528
304,1591
305,1556
306,1567
307,1591
308,1547
309,1559
310,1592
311,1558
312,1547
313,1590
314,1545
315,1546
316,1547
317,1587
318,1545
319,1544
320,1592
321,1548
322,1548
323,1489
324,1539
325,1591
326,1498
327,1590
328,1548
329,1505
330,1562
331,1589
332,1544
333,1590
334,1513
335,1592
336,1545
337,1552
338,1585
339,1529
340,1535
341,1499
342,1441
343,1547
344,1509
345,1550
346,1546
347,1447
348,1548
349,1545
350,1545
351,1549
352,1591
353,1547
354,1476
355,1591
356,1542
357,1537
358,1592
359,1568
360,1547
361,1556
362,1556
363,1589
364,1526
365,1582
366,1545
367,1545
368,1565
369,1542
370,1546
371,1479
372,1541
373,1496
374,1576
375,1534
376,1546
377,1536
378,1541
379,1499
380,1525
381,1589
382,1589
383,1568
384,1524
385,1545
386,1591
387,1544
388,1546
389,1581
390,1535
391,1545
392,1546
393,1541
394,1546
395,1528
396,1545
397,1482
398,1544
399,1527
400,1526
401,1565
402,1547
403,1592
404,1510
405,1547
406,1592
407,1592
408,1502
409,1592
410,1592
411,1588
412,1590
413,1545
414,1592
415,1545
416,1504
417,1481
418,1546
419,1496
420,1541
421,1543
422,1505
423,1587
424,1548
425,1592
426,1591
427,1499
428,1460
429,1501
430,1555
431,1502
432,1548
433,1590
434,1517
435,1504
436,1534
437,1520
438,1551
439,1542
440,1543
441,1544
442,1556
443,1508
444,1590
445,1592
446,1591
447,1591
448,1537
449,1592
450,1592
451,1545
452,1513
453,1500
454,1451
455,1492
456,1545
457,1545
458,1592
459,1592
460,1546
461,1592
462,1501
463,1545
464,1568
465,1549
466,1539
467,1568
468,1556
469,1497
470,1546
471,1550
472,1547
473,1501
474,1548
475,1547
476,1588
477,1501
478,1497
479,1543
480,1514
481,1567
482,1592
483,1545
484,1505
485,1498
486,1513
487,1546
488,1541
489,1590
490,1544
491,1545
492,1592
493,1566
494,1546
495,1555
496,1553
497,1590
498,1592
499,1592
500,1514
501,1592
502,1546
503,1534
504,1563
505,1569
506,1498
507,1535
508,1545
509,1549
510,1507
511,1544
512,1514
