
train_batch_node_id, train_batch_node_size
49,48021
50,48087
51,48323
52,48104
53,48121
54,47749
55,47996
56,47967
57,48284
58,48083
59,48222
60,47771
61,48148
62,47873
63,48114
64,47934

train_batch_edge_id, train_batch_edge_size
49,1348553
50,1377581
51,1359361
52,1314276
53,1339031
54,1387707
55,1345784
56,1353859
57,1345560
58,1339861
59,1347690
60,1350679
61,1354982
62,1319783
63,1318992
64,1324062

train_seed_node_id, train_seed_node_size
1,8401
2,8401
3,8401
4,8401
5,8401
6,8401
7,8401
8,8401
9,8401
10,8401
11,8401
12,8401
13,8401
14,8401
15,8401
16,8401
17,8401
18,8401
19,8401
20,8401
21,8401
22,8401
23,8401
24,8401
25,8401
26,8401
27,8401
28,8401
29,8401
30,8401
31,8401
32,8401
33,8401
34,8401
35,8401
36,8401
37,8401
38,8401
39,8401
40,8401
41,8401
42,8401
43,8401
44,8401
45,8401
46,8401
47,8401
48,8401
49,8401
50,8401
51,8401
52,8401
53,8401
54,8401
55,8401
56,8401
57,8401
58,8401
59,8401
60,8401
61,8401
62,8401
63,8401
64,8371
