
train_batch_node_id, train_batch_node_size
1,666
2,677
3,684
4,681
5,683
6,680
7,672
8,673

train_batch_edge_id, train_batch_edge_size
1,730
2,678
3,750
4,686
5,618
6,684
7,716
8,658

train_seed_node_id, train_seed_node_size
1,65
2,64
3,66
4,64
5,65
6,65
7,64
8,65

validation_batch_node_id, validation_batch_node_size
1,666
2,677
3,684
4,681
5,683
6,680
7,672
8,673

validation_batch_edge_id, validation_batch_edge_size
1,730
2,678
3,750
4,686
5,618
6,684
7,716
8,658

validation_seed_node_id, validation_seed_node_size
1,568
2,578
3,583
4,582
5,583
6,580
7,574
8,574
