
train_batch_node_id, train_batch_node_size
1,341
2,339
3,340
4,345
5,328
6,345
7,342
8,328
9,347
10,338
11,336
12,330
13,345
14,340
15,342
16,330

train_batch_edge_id, train_batch_edge_size
1,150
2,236
3,212
4,156
5,180
6,242
7,134
8,238
9,172
10,170
11,162
12,256
13,242
14,142
15,166
16,190

train_seed_node_id, train_seed_node_size
1,32
2,32
3,33
4,33
5,32
6,33
7,32
8,32
9,33
10,33
11,32
12,32
13,33
14,32
15,32
16,32

validation_batch_node_id, validation_batch_node_size
1,341
2,339
3,340
4,345
5,328
6,345
7,342
8,328
9,347
10,338
11,336
12,330
13,345
14,340
15,342
16,330

validation_batch_edge_id, validation_batch_edge_size
1,150
2,236
3,212
4,156
5,180
6,242
7,134
8,238
9,172
10,170
11,162
12,256
13,242
14,142
15,166
16,190

validation_seed_node_id, validation_seed_node_size
1,291
2,290
3,290
4,294
5,280
6,294
7,292
8,280
9,296
10,288
11,287
12,282
13,294
14,290
15,292
16,282
