
train_batch_node_id, train_batch_node_size
1,343
2,337
3,343
4,334
5,338
6,335
7,338
8,340
9,335
10,348
11,334
12,342
13,342
14,330
15,338
16,339

train_batch_edge_id, train_batch_edge_size
1,122
2,200
3,158
4,146
5,168
6,162
7,232
8,192
9,166
10,226
11,122
12,158
13,202
14,220
15,170
16,222

train_seed_node_id, train_seed_node_size
1,32
2,32
3,32
4,32
5,33
6,32
7,33
8,33
9,32
10,34
11,32
12,32
13,32
14,32
15,33
16,32

validation_batch_node_id, validation_batch_node_size
1,343
2,337
3,343
4,334
5,338
6,335
7,338
8,340
9,335
10,348
11,334
12,342
13,342
14,330
15,338
16,339

validation_batch_edge_id, validation_batch_edge_size
1,122
2,200
3,158
4,146
5,168
6,162
7,232
8,192
9,166
10,226
11,122
12,158
13,202
14,220
15,170
16,222

validation_seed_node_id, validation_seed_node_size
1,293
2,288
3,293
4,285
5,288
6,286
7,288
8,290
9,286
10,296
11,285
12,292
13,292
14,282
15,288
16,290
