
train_batch_node_id, train_batch_node_size
1,330
2,348
3,344
4,334
5,335
6,345
7,335
8,337
9,328
10,344
11,338
12,345
13,337
14,330
15,345
16,341

train_batch_edge_id, train_batch_edge_size
1,226
2,174
3,192
4,146
5,198
6,148
7,148
8,222
9,180
10,192
11,182
12,148
13,222
14,256
15,160
16,184

train_seed_node_id, train_seed_node_size
1,32
2,34
3,33
4,32
5,32
6,32
7,32
8,32
9,32
10,33
11,33
12,32
13,32
14,32
15,33
16,32

validation_batch_node_id, validation_batch_node_size
1,330
2,348
3,344
4,334
5,335
6,345
7,335
8,337
9,328
10,344
11,338
12,345
13,337
14,330
15,345
16,341

validation_batch_edge_id, validation_batch_edge_size
1,226
2,174
3,192
4,146
5,198
6,148
7,148
8,222
9,180
10,192
11,182
12,148
13,222
14,256
15,160
16,184

validation_seed_node_id, validation_seed_node_size
1,282
2,296
3,293
4,285
5,286
6,295
7,286
8,288
9,280
10,293
11,288
12,295
13,288
14,282
15,294
16,291
