
train_batch_node_id, train_batch_node_size
1,4896
2,4925
3,4949
4,4947
5,4941
6,4974
7,4904
8,4898

train_batch_edge_id, train_batch_edge_size
1,5394
2,5464
3,5798
4,5172
5,5432
6,5702
7,5358
8,5482

train_seed_node_id, train_seed_node_size
1,486
2,490
3,494
4,492
5,490
6,495
7,489
8,488

validation_batch_node_id, validation_batch_node_size
1,4896
2,4925
3,4949
4,4947
5,4941
6,4974
7,4904
8,4898

validation_batch_edge_id, validation_batch_edge_size
1,5394
2,5464
3,5798
4,5172
5,5432
6,5702
7,5358
8,5482

validation_seed_node_id, validation_seed_node_size
1,4164
2,4188
3,4208
4,4207
5,4202
6,4230
7,4170
8,4165
