
train_batch_node_id, train_batch_node_size
1,2469
2,2469
3,2457
4,2422
5,2482
6,2462
7,2478
8,2478
9,2469
10,2501
11,2471
12,2445
13,2456
14,2439
15,2480
16,2456

train_batch_edge_id, train_batch_edge_size
1,1478
2,1396
3,1360
4,1306
5,1214
6,1372
7,1384
8,1214
9,1452
10,1332
11,1420
12,1384
13,1416
14,1212
15,1418
16,1388

train_seed_node_id, train_seed_node_size
1,246
2,246
3,244
4,241
5,247
6,245
7,246
8,247
9,246
10,248
11,245
12,244
13,244
14,243
15,247
16,245

validation_batch_node_id, validation_batch_node_size
1,2469
2,2469
3,2457
4,2422
5,2482
6,2462
7,2478
8,2478
9,2469
10,2501
11,2471
12,2445
13,2456
14,2439
15,2480
16,2456

validation_batch_edge_id, validation_batch_edge_size
1,1478
2,1396
3,1360
4,1306
5,1214
6,1372
7,1384
8,1214
9,1452
10,1332
11,1420
12,1384
13,1416
14,1212
15,1418
16,1388

validation_seed_node_id, validation_seed_node_size
1,2099
2,2099
3,2090
4,2060
5,2110
6,2094
7,2108
8,2107
9,2100
10,2127
11,2102
12,2079
13,2088
14,2074
15,2109
16,2088
