-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                                 Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                         
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
matmul                               0.01%            68.206us         0.01%            68.206us         68.206us         0.02%            129.024us        129.024us        1                []                                   
mm                                   0.01%            53.276us         0.01%            53.276us         53.276us         0.02%            127.104us        127.104us        1                []                                   
select                               0.00%            7.886us          0.00%            7.886us          7.886us          0.00%            1.151us          1.151us          1                []                                   
select                               0.00%            3.504us          0.00%            3.504us          3.504us          0.00%            1.376us          1.376us          1                []                                   
ne                                   0.00%            18.031us         0.00%            18.031us         18.031us         0.00%            4.160us          4.160us          1                []                                   
bitwise_not                          0.00%            24.093us         0.00%            24.093us         24.093us         0.00%            8.417us          8.417us          1                []                                   
empty                                0.00%            2.661us          0.00%            2.661us          2.661us          0.00%            0.736us          0.736us          1                []                                   
bitwise_not_out                      0.00%            13.087us         0.00%            13.087us         13.087us         0.00%            2.497us          2.497us          1                []                                   
to                                   0.00%            6.906us          0.00%            6.906us          6.906us          0.00%            1.729us          1.729us          1                []                                   
index                                0.01%            62.553us         0.01%            62.553us         62.553us         0.01%            57.728us         57.728us         1                []                                   
to                                   0.00%            1.663us          0.00%            1.663us          1.663us          0.00%            1.185us          1.185us          1                []                                   
index                                0.01%            45.099us         0.01%            45.099us         45.099us         0.01%            46.496us         46.496us         1                []                                   
cat                                  0.00%            26.949us         0.00%            26.949us         26.949us         0.00%            26.625us         26.625us         1                []                                   
unsqueeze                            0.00%            5.939us          0.00%            5.939us          5.939us          0.00%            5.504us          5.504us          1                []                                   
repeat                               0.00%            26.085us         0.00%            26.085us         26.085us         0.00%            26.623us         26.623us         1                []                                   
slice                                0.00%            4.853us          0.00%            4.853us          4.853us          0.00%            4.192us          4.192us          1                []                                   
